Scenerio,Participant,Distance,Orientation,Light,Speed,Glasses,FFT,Target
2,3,70,30,1250,2,2,0.000659662,0
2,3,75,30,1250,0,2,0.000565257,0
2,3,75,45,30,2,2,0.000573908,0
2,3,75,60,450,2,1,0.000300642,0
2,0,55,45,1000,2,3,0.000320546,0
0,1,75,35,50,2,4,0.000236127,0
2,3,65,35,1000,2,3,0.000202131,0
2,3,60,20,1000,2,3,0.000319813,0
2,3,75,20,450,0,3,0.000645246,0
0,3,75,25,600,2,1,0.000581093,0
1,3,55,30,250,2,2,0.000645451,0
0,3,70,60,450,2,3,0.000363542,0
0,3,75,10,30,2,1,0.000333401,0
0,3,70,0,450,2,2,0.000394723,0
0,3,70,45,50,0,1,0.000361837,0
1,2,60,45,150,0,0,0.000231237,0
2,3,70,60,1000,1,4,0.000230084,0
0,3,75,55,30,2,3,0.00064591,0
0,3,60,60,30,2,2,0.00013557,0
1,3,75,60,1000,2,0,0.000528108,0
2,3,70,60,1250,1,3,0.000214068,0
0,3,75,45,30,2,2,0.00056965,0
2,3,70,20,450,2,3,0.000203293,0
1,3,75,60,1450,0,4,0.000256764,0
2,1,70,60,1450,2,0,0.000498492,0
1,3,70,60,50,2,2,0.000447003,0
1,2,60,45,250,2,2,0.000177295,0
1,3,75,30,600,2,3,0.000563339,0
1,3,70,55,1250,2,2,0.000575008,0
1,3,75,45,1250,2,3,0.000595965,0
2,3,60,30,250,2,3,0.000464488,0
0,3,75,60,450,2,2,0.000399454,0
1,3,60,30,450,2,2,0.000414447,0
0,2,60,30,50,2,1,0.000462912,0
1,3,70,35,1450,2,3,0.000427304,0
2,3,65,25,50,1,2,0.00030628,0
2,3,70,40,250,1,0,0.000208656,0
0,2,75,25,250,2,4,0.000458398,0
2,3,70,55,450,2,3,0.000580705,0
1,2,70,55,600,2,4,0.000518197,0
2,3,60,40,1250,2,4,0.000141733,0
0,3,65,30,600,2,2,0.000359862,0
1,3,70,10,600,2,2,0.000520166,0
0,3,65,10,150,1,3,0.000283554,0
0,3,65,25,450,2,3,0.000589256,0
0,3,60,60,50,2,3,0.000286622,0
2,3,60,60,30,2,2,0.000516876,0
0,3,60,60,150,2,2,0.000534126,0
1,1,70,55,600,2,4,0.000144132,0
2,3,70,55,150,2,2,0.000576006,0
2,3,75,55,250,2,4,0.000379387,0
1,3,60,40,1000,2,2,0.000179804,0
0,3,65,60,1000,0,3,0.000612359,0
1,0,65,25,50,0,2,0.000406488,0
2,3,65,30,250,1,1,0.000138607,0
0,1,60,60,30,2,3,0.000303239,0
1,3,55,60,30,2,3,0.000567438,0
0,3,50,45,150,0,0,0.000517683,0
0,3,70,60,1000,2,0,0.000385147,0
1,0,70,60,1450,2,0,0.000156863,0
1,3,60,60,1000,2,0,0.000334147,0
1,3,65,30,150,2,2,0.000660084,0
1,3,75,40,150,2,4,0.000663788,0
2,0,50,40,1250,0,3,0.000562737,0
0,2,60,5,50,2,0,0.000399837,0
1,2,65,60,50,1,2,0.000222753,0
2,2,65,45,1250,0,1,0.000154814,0
0,1,75,45,1000,2,4,0.000315191,0
0,3,60,40,1000,2,4,0.00053869,0
1,3,65,20,30,2,2,0.000463723,0
1,3,75,55,1450,2,2,0.000136029,0
1,3,65,25,250,2,3,0.000545306,0
0,3,60,45,450,1,3,0.00056316,0
0,3,75,20,1250,0,3,0.000430952,0
1,0,60,25,50,2,3,0.000191635,0
2,3,60,30,450,2,4,0.000480606,0
2,3,55,30,150,2,4,0.000423843,0
1,3,70,55,250,2,4,0.000207937,0
2,3,60,25,30,2,4,0.000189912,0
0,3,70,30,30,2,4,0.000653885,0
1,3,65,60,1000,2,3,0.000303208,0
0,3,55,30,50,2,3,0.000593808,0
2,3,75,60,50,2,0,0.000659056,0
2,3,75,55,1000,2,1,0.000217836,0
2,3,75,25,600,2,3,0.00052255,0
1,3,75,55,1250,2,2,0.000644382,0
1,2,75,30,450,1,3,0.000620536,0
2,3,75,60,600,2,2,0.0005716,0
1,3,75,60,30,2,4,0.000153761,0
1,3,65,20,150,0,4,0.000219837,0
1,3,60,55,1250,2,3,0.000204188,0
2,3,70,55,450,2,4,0.000313835,0
2,3,70,10,1450,2,2,0.000435903,0
1,3,60,15,600,0,4,0.000171351,0
1,3,55,30,30,0,3,0.000247528,0
1,3,75,30,50,2,1,0.000426139,0
0,3,70,55,600,2,3,0.000525515,0
2,1,60,25,250,2,1,0.000207652,0
2,3,65,60,150,2,3,0.000280082,0
1,3,65,25,150,0,3,0.000403817,0
2,3,70,10,1250,2,3,0.000233044,0
2,0,65,60,250,2,3,0.000355859,0
1,3,55,45,30,2,4,0.000143186,0
2,3,70,40,450,2,2,0.000230725,0
1,0,75,30,1250,1,3,0.000410815,0
1,3,65,55,450,2,4,0.000443743,0
1,3,70,20,1450,1,3,0.000413455,0
1,0,60,20,150,2,2,0.000457576,0
0,3,65,60,150,2,2,0.000400224,0
2,3,50,30,30,2,3,0.000202006,0
1,3,75,45,450,2,4,0.00044574,0
2,3,65,20,1250,2,3,0.000497797,0
1,3,70,25,50,2,3,0.000259898,0
1,3,75,45,150,0,1,0.000169398,0
2,3,75,45,30,2,2,0.000385783,0
0,3,70,40,250,2,3,0.000259549,0
2,3,70,45,600,0,3,0.000593652,0
2,3,70,55,250,2,4,0.000511192,0
1,3,75,60,150,2,2,0.000535132,0
0,2,75,40,150,2,2,0.000480652,0
2,1,60,40,150,2,1,0.000236979,0
2,3,55,25,250,2,2,0.000333055,0
2,2,75,0,1450,2,3,0.000214289,0
0,3,55,35,1000,2,0,0.000459545,0
0,3,75,20,1000,0,2,0.000408425,0
0,3,60,10,1000,2,4,0.000225161,0
2,3,75,45,450,0,4,0.000231335,0
0,3,70,20,1250,2,3,0.000445259,0
0,3,60,55,600,2,3,0.000242442,0
2,3,70,55,250,1,1,0.000638003,0
1,3,75,55,30,2,2,0.000608904,0
1,3,75,25,50,2,2,0.00062978,0
1,3,70,55,1000,2,0,0.000333388,0
2,1,55,20,30,0,2,0.000592183,0
0,3,70,35,600,2,3,0.000350386,0
1,3,65,25,50,1,2,0.000484534,0
2,0,75,35,250,2,2,0.000248371,0
2,3,70,55,600,2,3,0.000435096,0
0,3,65,25,1250,2,4,0.0004557,0
1,3,75,30,600,0,2,0.000454269,0
1,3,70,55,600,2,3,0.000647454,0
1,3,75,20,450,2,3,0.000583394,0
2,3,75,25,250,1,4,0.000366944,0
1,3,55,60,1250,2,2,0.000644959,0
2,3,65,60,30,2,3,0.000604563,0
2,3,70,60,1000,1,2,0.000668214,0
2,0,75,30,30,2,3,0.00063624,0
0,3,60,35,50,2,2,0.000581871,0
2,3,75,20,150,2,3,0.000443303,0
2,3,75,25,1250,2,4,0.00058812,0
0,3,75,55,600,2,2,0.000489493,0
1,2,75,40,30,2,3,0.000250716,0
2,3,55,30,1000,2,2,0.000437818,0
2,3,70,60,150,1,2,0.00050747,0
1,3,75,60,1250,2,2,0.000173745,0
1,3,60,35,150,2,2,0.000555114,0
0,3,60,45,30,2,1,0.000632852,0
